title,price,land,building,bed,bath,floor,certificate,location
Rumah Baru Siap Huni Dekat SMAN 1 Seyegan Sleman,Rp 385.000.001,110,50,3,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
450juta minimalis modern dekat Pasar Godean - SMR232,Rp 450.000.000,123,100,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Dijual segera perumahan strategis siap pakai,lihat pasti suka",Rp 1.200.000.000,192,186,6,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Dijual rumah dua lantai murah paling murah di areanya,Rp 2.200.000.000,130,130,5,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"MURAH BELAKANG HYATT JL.PALAGAN KM.6,5 DEKAT RINGROAD, MONJALI, UGM",Rp 850.000.000,125,80,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Kost Eksklusif 14 KT kos dekat UGM,UTY, Tugu Jogja, JCM,Jl Magelang",Rp 2.700.000.007,120,180,9,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Di jual murah rmh mewah 2lantai jakal km 10,Rp 1.700.000.000,108,180,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Hunian Siap Bangun Di Jl Pandwoharjo Utara SCH,Rp 486.500.000,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dijual rumah minimalis di mlati sleman jogja yogya yogyakarta,Rp 675.000.000,90,60,3,2,0,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Siap Huni Amarta Apartemen by Patraland - PT Patrajasa,Rp 650.000.000,5000,44,1,1,11,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Jual rumah di perumahan griya taman asri,Rp 650.000.000,98,70,3,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
15unit rumah baru dijlgodean km 14 dkt kekellurahan sumberarum moyudan,Rp 350.000.000,127,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
