title,price,land,building,bed,bath,floor,certificate,location
Rumah Murah Jl Padma Palagan Dekat Kampus UGM Hotel Hyatt,Rp 825.000.000,100,75,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah minimalis moderen tropis dijual di sleman jogja yogya yogyakarta,Rp 650.000.000,112,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Modern dekat SCH Mall,Rp 675.888.222,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Launching!! Selatan Perum Pertamina Perumahan Konsep Modern Purwo,Rp 873.000.990,118,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Timur Masjid Suciati jl Gitogati Sleman,Rp 725.000.000,116,90,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Baru Mewah Luxury 3 Lantai Pinggir Jalan Di Jl. Kaliurang Km. 7,Rp 5.250.000.000,1,1,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Barat Lapangan Denggung Sleman Siap Bangun,Rp 385.000.000,84,45,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
Dijual rumah minimalis siap huni di daerah gamping ringroad barat,Rp 800.000.000,141,55,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Murah Jl Padma Dekat Hotel Hyatt Kampus UGM,Rp 845.000.000,113,80,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Dekat RSA UGM Di Bawah 1 M,Rp 975.000.000,171,150,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Murah! Perumahan Modern Konsep Eropa Dekat Kids Fun,Rp 650.009.900,209,100,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
rumah baru siap huni Jakal KM 12,Rp 800.000.000,148,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Hunian Murah Proses Finishing Barat Klinik Widuri,Rp 475.000.000,112,47,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
"CLUSTER MEWAH Griya di Maguwoharjo, Jual Cepat",Rp 1.870.000.000,120,135,4,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Tanah Sleman Murah, Sertipikat SHM, Dekat UII",Rp 450.000.000,107,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Kode RSH 188 # Rumah Bagus Siap Huni di Barat Polres Sleman Yogyakarat,Rp 350.000.000,90,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Kost Jogja 2 lantai, 11 Kamar. Pogung Baru. dekat ke kampus UGM. SHM",Rp 3.950.000.000,333,200,5,3,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
900jt-an Dapat Rumah 2 Lantai Mewah Sebelah Barat Jalan Magelang,Rp 975.000.008,115,100,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Mewah Baru di Jalan kaliurang Km 8,5 Akses Jalan Besar",Rp 2.700.000.000,252,200,5,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Hunian di Perum JL Palagan Jongke Dekat Hyatt Jombor UTY JL Magelang,Rp 625.000.000,103,103,3,1,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah dijual rumah minimalis di mlati sleman jogja yogya yogyakarta,Rp 675.000.000,90,60,3,2,0,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Dekat UGM, UTY, JCM",Rp 1.500.000.000,126,90,3,2,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah Mewah Baru di Jalan kaliurang Km 8,5 Akses Jalan Besar",Rp 2.700.000.000,252,200,5,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Dekat Jombor Di Mlati Seyegan Murah 600 Jutaan Dekat Pemda,Rp 675.000.000,90,60,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
HUNIAN MODERN MINIMALIS SIAP HUNI LOKASI PREMIUM,Rp 700.000.211,101,47,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah murah di area Lempongsari Palagan,Rp 685.000.000,113,105,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH CANTIK FULL FURNISHED JAKAL KM 9,Rp 675.000.000,107,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Murah Tanah Luas dekat Jombor ,  JCM , SCH dan Pusat kota Jogja",Rp 1.000.000.000,225,150,9,9,,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
,Rp 30.000,44,100,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Minimalis Full Furnished dlm Perumahan Jongke Security 24 Jam,Rp 1.400.000.000,132,90,3,3,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH CANTIK MURAH WEDOMARTANI,Rp 895.000.000,97,95,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Berkah Ramadhan,Segera Dapatkan Rumah Hanya 500jt-an di Tridadi Sleman",Rp 520.000.005,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Perumahan Baru Griya Sentosa Utara Jombor,Rp 1.800.000.000,137,155,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
"Akses Mobil Masuk, Hunian Area Pundong I, Dekat Jl. Kebon Agung",Rp 440.000.000,87,36,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Kost Mewah Exclusive 3 Lantai 37 Kamar Di Pogung Jl. Kaliurang Km. 4,Rp 12.000.000.000,774,668,&gt;10,&gt;10,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Murah siap huni di Maguwoharjo Depok sleman,Rp 695.000.000,100,65,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Kost eksklusif dekat UGM Jl Monjali, Pogung, Pandega,Nandan,tugu Jogja",Rp 3.300.000.000,0,0,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Orizya Village Kaliurang Dekat Kampus UII dan UGM,Rp 907.999.000,100,76,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah view persawahan ,jln kabupaten trihanggo gamping sleman",Rp 1.300.000.000,250,100,1,1,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"RUMAH MEWAH  ALIMDO REGENCY SLEMAN,SIAP HUNI JL GITO GATI",Rp 1.200.000.000,108,72,3,3,2,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
RUMAH NYAMAN SIAP HUNI,Rp 470.000.000,113,36,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Di jual murah rmh mewah 2lantai jakal km 10,Rp 1.700.000.000,108,180,4,3,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Hook Perum Elite Nandan Griya Idaman Dekat Al Azhar &amp; UGM,Rp 3.750.000.000,235,269,5,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Belakang Gor Pangukan Siap Bangun,Rp 585.000.000,133,50,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Baru Belakang Gor Pangukan Sleman,Rp 585.000.000,0,0,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah view persawahan ,jln kabupaten trihanggo gamping sleman",Rp 1.300.000.000,178,100,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual guest house dan ada minimarket dekat pemkab Sleman SCH Tridadi,Rp 12.500.000.000,908,900,&gt;10,&gt;10,0,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Perumahan Bale Mulia Dengan Kolam Renang Pribadi,Rp 10.000.000.000,527,399,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di Bale Mulia residence Mlati Sleman Yogyakarta,Rp 4.600.000.000,252,253,5,4,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
"Dijual Rumah di Jombor Mlati Sleman, Barat Monjali dekat YIS",Rp 1.600.000.000,292,320,7,5,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Murah di Tlogoadi dekat RSA UGM UTY Jombor,Rp 495.000.000,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di bale mulia dkt ugm uty rs sarjito jcm sch tvri unisa(rb,Rp 4.400.000.000,293,323,4,3,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Mewah Hook 2 Muka Bale Mulia Residence Perumahan Elite,Rp 5.300.000.000,252,260,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah di bale mulia dkt ugm uty rs sarjito jcm sch tvri unisa(rb,Rp 4.400.000.000,322,297,5,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Bale Mulia Residence Perumahan Mewah Lingkungan Elite,Rp 4.200.000.000,313,260,5,5,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH DI JALAN MAGELANG MLATI SLEMAN DEKAT TERMINAL JOMBOR DAN JCM,Rp 1.000.000.000,114,180,5,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Dan Kost 15 Kamar Jalan Utama Pogung Jl. Kaliurang Km. 4,Rp 4.499.000.000,220,225,8,9,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Harga Dibawah Pasaran di Bale Mulia Barat Terminal Jombor Jogja,Rp 1.650.000.000,164,110,3,1,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Modern dekat SCH Mall,Rp 675.888.222,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah Bonus Furniture dekat Jalan Purbaya,Rp 2.500.000.000,126,330,6,3,3,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah view persawahan ,jln kabupaten trihanggo gamping sleman",Rp 1.300.000.000,250,100,1,1,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Jl Padma Palagan Dekat Kampus UGM Hotel Hyatt,Rp 825.000.000,100,75,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah 2 lantai dekat kota yogya,Rp 474.999.999,135,55,3,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MURAH CLUSTER STRATEGIS DI JL JONGKE MLATI MAGELANG SLEMAN YOGYA,Rp 950.000.000,140,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MURAH STRATEGIS DEKAT PEMDA DAN JL MAGELANG KM 13 SLEMAN YOGYA,Rp 335.000.000,120,80,2,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Kode RSH835 #Rumah Cantik Barat Perum Grand Tlogoadi Mlati Sleman Yogy,Rp 700.000.000,170,165,3,4,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dalam Perum Sleman Jalan Griya Taman Asri,Rp 650.000.000,130,80,4,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Rumah Dekat MMTC, UTY, UGM",Rp 1.000.000.000,170,165,3,4,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah cantik dalam perumahan jln kapten Haryadi sleman,Rp 895.000.000,110,85,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Dekat AMIKOM, UPN Jogja",Rp 3.000.000.000,190,200,7,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Rumah Strategis Murah di Murangan dekat RSUD Sleman City Hall,Rp 390.000.000,100,40,2,1,,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Siap Huni dekat SMP 1 Seyegan,Rp 480.000.000,108,70,2,1,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Siap Huni dlm Perumahan Didkt Banyumili Resto,Rp 999.000.000,106,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
"Perumahan Dekat UGM, UII Jogja",Rp 2.100.000.000,127,150,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Dijual Cepat Jl Padma Dalam Perumahan Belakang Hotel Hyatt,Rp 1.400.000.000,131,160,4,3,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Modern Siap Huni Strategis Di Mlati Sleman,Rp 495.000.000,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"MURAH! RUMAH BARU SIAP HUNI DI PURWOMARTANI,SLEMAN,JOGJA",Rp 725.000.000,129,80,2,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH BARU 3 KAMAR SIAP HUNI AREA MLATI DEKAT JL PURBAYA. JK10334,Rp 700.000.004,100,70,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah cluster jakal kampus UII dekat ke kota jogja,Rp 695.000.000,90,70,3,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah dijual rumah minimalis di mlati sleman jogja yogya yogyakarta,Rp 675.000.000,90,60,3,2,0,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"RUMAH MEWAH  ALIMDO REGENCY SLEMAN,SIAP HUNI JL GITO GATI",Rp 1.200.000.000,108,72,3,3,2,HGB - Hak Guna Bangun,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Murah Jawa Etnik dekat RS At Tourots Seyegan,Rp 750.500.200,131,80,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah baru minimalis di jln godean km 6.5 dkt ke bakmi pak pele,Rp 850.000.000,174,100,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Baru Siap Huni Dekat SMAN 1 Seyegan Sleman,Rp 385.000.001,110,50,3,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Jogja Barat dekat pasar Ngino,Rp 325.000.100,100,50,2,1,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Mewah 2 Lantai Siap Huni Dekat Terminal Jombor Jl Magelang,Rp 2.250.000.000,137,155,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Siap Bangun Sesuai Selera &amp; Budget Anda || ANNORA DURENAN,Rp 410.000.000,93,36,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Klasik Minimalis Cara Bayar Fleksibel,Rp 250.000.000,84,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Villa Guesthouse Etnik Jawa,Rp 400.000.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Joglo Etnik Termurah di Jogja Timur Berkualitas,Rp 200.000.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah konsep minimalis modern di kawasan Candi Prambanan,Rp 200.000.000,68,32,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
DIJUAL RUMAH SEMI VILLA FULLY FURNISH TIMUR BANDARA ADISUCIPTO JOGJA,Rp 1.450.000.000,,,,,,,
Rumah konsep minimalis modern di kawasan Candi Prambanan,Rp 200.000.000,68,32,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Kawasan Rumah Joglo Classic,Rp 385.000.000,87,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Murah Modern Gaya Eropa 300 Juta: Timur Prambanan,Rp 327.000.990,63,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
HUNIAN MODERN MINIMALIS SIAP HUNI LOKASI PREMIUM,Rp 700.000.211,100,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Siap Huni Full Furnished Lokasi Strategis,Rp 769.000.000,104,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH SIAP HUNI MURAH DI SLEMAN,Rp 600.038.388,70,36,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Joglo Etnik Termurah di Jogja Timur Berkualitas,Rp 200.000.000,60,30,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cluster Cantik di Jalan Purbaya Sumberadi dekat ke Pemda Sleman,Rp 675.000.001,100,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah siap pakai belakang hotel hyatt,Rp 665.500.000,105,50,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"The Palm, Rumah Murah di Dekat Candi Prambanan",Rp 168.000.000,45,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
SPESIALIS RUMAH JOGLO ETNIC MURAH BERKUALITAS !!,Rp 200.000.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Cuma 4 Unit: Rumah Minimalis Timur Yogyakarta, Selatan Jl Solo Jogja",Rp 435.000.503,90,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Di Jual Rumah Baru Unit Terakhir Siap huni dalam Perum,Rp 799.000.000,100,70,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Siap Huni Sleman Free Pagar,Rp 350.000.000,110,40,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Perumahan Area Perkantoran, Komersial Usaha &amp; Homestay",Rp 400.000.000,45,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Hunian Nuansa Pedesaan Termurah Dekat Candi Prambanan,Rp 335.000.000,73,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MINIMALIS SIAP HUNI DI SLEMAN UTARA HARGA 500JTAN,Rp 499.999.999,91,45,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Bernuansa Kuno Jawa 3 Unit Terakhir Jogja,Rp 395.000.000,87,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Miliki Hunian Modern Etnik Jawa Area Komplek Candi Prambanan,Rp 895.000.099,379,135,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Investasi Sekarang, Unit Limasan di Daerah Berkembang Prambanan",Rp 525.500.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Bale Paragon, rumah dengan nuansa pedesaan",Rp 335.000.000,73,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"COCOK UNTUK HUNIAN RUMAH VILLA GUESTHOUSE 

 UNIT TERBATAS !!",Rp 460.000.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Super Strategis Termurah Hanya 400Jt-an,Rp 400.000.000,45,39,3,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"COCOK UNTUK HUNIAN RUMAH VILLA GUESTHOUSE 

 UNIT TERBATAS !!",Rp 460.000.000,80,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Super Strategis Termurah Hanya 400Jt-an,Rp 400.000.000,97,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah modern gaya Eropa Greenland Persada,Rp 300.000.000,65,33,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Ruma di JUAL cepat. Siap Huni. Bisa Nego,Rp 600.000.000,103,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Full furnished di candi gebang,Rp 850.000.000,104,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Cantik Modern di Barat Pemda Sleman,Rp 700.200.100,103,70,2,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Siap Huni Dekat Sleman City Hall &amp; Kantor Pemerintahan Sleman,Rp 550.000.000,100,70,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Kode : RSH 3108 #Rumah Cantik Siap Huni di Barat Polres Sleman Yogyaka,Rp 350.000.000,1210,40,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Full Furnished Bonus AC,Rp 769.000.000,104,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Rumah Cluster Strategis Murah di dekat RSUD Sleman City Hall,Rp 420.000.000,93,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Siap Huni Free Pagar, Cuma 15 Menit ke Bandara Adisucipto",Rp 350.000.000,110,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Jual Rumah Cluster Strategis Murah di dekat RSUD Sleman City Hall,Rp 420.000.000,91,45,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Harga Terjangkau 3 Kamar di Jalan Seyegan Godean,Rp 525.000.029,73,50,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah murah,Rp 380.000.000,97,36,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Full Furnished Sleman Yogyakarta,Rp 769.000.000,104,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Cantik Full Furnished dalam Cluster,Rp 725.000.000,104,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah mewah dkt ugm uty  al ahzar rs sarjito rs ugm tvri jcm sch (54),Rp 1.950.000.000,132,250,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Apartement Mataram City Full Furnished Dekat UGM View Merapi Siap Huni,Rp 700.000.000,34,34,1,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Apartemen murah taman melati dkt ugm uny al ahzar sarjito tvri jcm( uf,Rp 575.000.000,94,70,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
"Apartemen Mataram City Siap Huni Full Furnished Dekat UGM,",Rp 725.000.000,0,34,1,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Hunian Minimalis Siap HUNI dekat Kampus UII KALIURANG KM 13,Rp 728.000.000,145,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
RUMAH MINIMALIS SIAP HUNI DI SLEMAN UTARA HARGA 500JTAN,Rp 499.999.999,119,45,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Luas Ideal Harga Murah SHM,Rp 543.000.019,101,45,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Rumah Murah Siap Huni Luasan Ideal Legalitas SHM Pekarangan,Rp 390.000.031,100,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
Dijual Rumah Strategis Dalam Perumahan Jl Magelang,Rp 1.300.000.000,144,90,3,1,,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
