,title,price,land,building,bed,bath,floor,certificate,location
41,Jual rumah di griya perwita wisata jalan Kaliurang Jogja,Rp 700.000.000,84,60,3,2,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
42,Rumah Lux di lingkungan Eksklusif Bale Mulia,Rp 4.200.000.000,199,231,4,4,2,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
43,Rumah Baru di Utara Jogja Bay Maguwo,Rp 785.000.000,150,100,3,2,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
44,"Dijual Gedung Ex Sekolah VVIP jl kaliurang km 13,5 dkt UII Lt 3356m2",Rp 20.000.000.000,4500,1100,7,7,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
45,RUMAH KOST DIJUAL DEKAT UGM,Rp 3.100.000.000,206,240,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
46,Rumah dalam kraton benteng sangat strategis dekat malioboro,Rp 1.000.000.000,141,115,3,2,1,SHM - Sertifikat Hak Milik,"Mergangsan, Yogyakarta Kota, Yogyakarta D.I."
47,"TERMURAH DI BANGUNJIWO, LOKASI STRATEGIS TYPE 45 DALAM CLUSTER",Rp 314.731.473,72,45,2,1,,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
48,"Perumahan onegate Kaliurang Dekat UGM,UII,UNY,RSAUGM",Rp 788.000.000,150,45,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
49,EKLUSIF..Unit Pojok Dalam Perumahan di MAGUWO ESTATE Sleman Yogyakarta,Rp 975.000.000,140,65,3,2,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
50,Rumah etnik mewah joglo kolam renang maguwoharjo view cantik,Rp 7.500.000.000,1200,600,4,4,1,HGB - Hak Guna Bangun,"Depok, Sleman Kab., Yogyakarta D.I."
51,Rumah Cantik Elegan Siap Huni Dekat RIngin Purwomartani Kalasan,Rp 625.000.004,115,80,3,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
52,rumah guesthouse 8 kamar full furnished dekat sd Budi mulia jl tajem,Rp 1.500.000.000,266,125,3,2,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
53,"Rumah asri dengan tanah luas di Tajem, dekat jalan raya Selomartani",Rp 2.500.000.000,765,250,5,3,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
54,Rumah 3 lantai 5 menit ke UGM,Rp 1.200.000.000,150,107,4,3,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
55,Homestay Guest House Tanah Luas 500 Meter,Rp 3.000.000.000,550,500,6,5,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
56,"Dijual Rumah Timur Pamela 7 Kalasan, Strategis 800 Jutaan",Rp 813.000.000,125,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
57,Rumah Dijual Perumahan Lempongsari dkt Hotel Hyatt Jl. Palagan &amp; UGM,Rp 2.000.000.000,172,160,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
58,"Dijual 1 Unit Rumah Siap Bangun di Godean, Type 45/101 Rp 525 juta",Rp 525.000.306,101,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
59,"Full Furnish, Rumah Siap Tempati Type 80/140 m2 Siap KPR Di Sleman",Rp 700.000.316,140,110,4,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
60,"Dekat Budi Mulia Tajem, Masih NEGO, dlm Cluster Full Bonus, SHM IMB Ok",Rp 960.000.000,103,115,3,3,2,,"Ngemplak, Sleman Kab., Yogyakarta D.I."
61,Jual cepat rumah siap huni dekat Ambarukmo plaza,Rp 1.500.000.000,203,126,3,1,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
62,Rumah kos2an 14 KT 14 KM full penghuni bisa TT samping minimarket,Rp 2.250.000.000,287,287,&gt;10,&gt;10,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
63,DIJUAL RUMAH NO.B7 PERUMAHAN TELAGA JATI ASRI,Rp 330.000.000,88,45,2,1,1,HGB - Hak Guna Bangun,"Wonosari, Gunung Kidul Kab., Yogyakarta D.I."
64,"Dijual Rumah Timur Pamela 7 Kalasan, Strategis 800 Jutaan",Rp 813.000.000,125,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
65,Rumah Dijual Perumahan Lempongsari dkt Hotel Hyatt Jl. Palagan &amp; UGM,Rp 2.000.000.000,172,160,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
66,"Dijual 1 Unit Rumah Siap Bangun di Godean, Type 45/101 Rp 525 juta",Rp 525.000.306,101,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
67,"Full Furnish, Rumah Siap Tempati Type 80/140 m2 Siap KPR Di Sleman",Rp 700.000.316,140,110,4,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
68,"Rumah Dijogja, Sleman Rumah dua Lantai, dekat Jl Gito Gati, SCH",Rp 1.800.000.000,150,200,4,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
69,Rumah Minimalis Piyungan Bantul,Rp 1.800.000.000,588,200,5,3,1,SHM - Sertifikat Hak Milik,"Piyungan, Bantul Kab., Yogyakarta D.I."
70,"Rumah Dekat JCM, UTY, UGM",Rp 5.000.000.000,314,278,5,4,,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
71,Rumah kost 24 kmar gejayan proses renovasi cukup jalan kaki kampus UGM,Rp 5.500.000.000,400,450,&gt;10,&gt;10,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
72,Jual rumah kost full furnished di dekat plemburan UGM Jakal Km 5.5,Rp 5.500.000.000,481,400,&gt;10,&gt;10,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
73,Tanah Murah Sleman 118 m2 Standar Perumahan,Rp 117.000.000,76,76,1,1,1,SHM - Sertifikat Hak Milik,"Minggir, Sleman Kab., Yogyakarta D.I."
74,Rumah Mewah Furnish Dlm Perum Elit Dekat TUGU JOGJA,Rp 4.800.000.000,201,322,6,4,2,HGB - Hak Guna Bangun,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
75,Banting harga! BU ! Rumah Murah Kodya Dlm Cluster Dekat Gedong Kuning,Rp 780.000.000,101,96,3,2,,,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
76,Jual Rumah Kavling Bisa KPR di Sidokarto Godean,Rp 450.000.011,70,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
77,Jual Rumah Murah-Kasihan-Selatan UMY,Rp 483.000.999,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Tegalrejo, Yogyakarta Kota, Yogyakarta D.I."
78,RUMAH ADA KOLAM RENANG PRIBADI DI TIMOHO KODYA JOGJA. BPY14,Rp 4.900.000.000,340,200,4,4,1,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
79,Rumah Siap Huni Dalam Perumahan Cantik Pesona Sadewa,Rp 493.000.087,93,45,2,1,1,SHM - Sertifikat Hak Milik,"Ngampilan, Yogyakarta Kota, Yogyakarta D.I."
80,Rumah kos bagus dkt UMY bisaTT 14kt 14 km pinggir jln besar murmer,Rp 2.250.000.000,287,287,&gt;10,&gt;10,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
81,Rumah Murah Area Kampus Uii harga Murah,Rp 680.000.000,123,54,3,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
82,Hunian di Perum JL Palagan Jongke Dekat Hyatt Jombor UTY JL Magelang,Rp 625.000.000,103,103,3,1,1,HGB - Hak Guna Bangun,"Mlati, Sleman Kab., Yogyakarta D.I."
83,Sedayu Residence Siap Huni Harga Murah Dekat Kota Jogja,Rp 250.000.000,2,36,2,1,1,SHM - Sertifikat Hak Milik,"Sedayu, Bantul Kab., Yogyakarta D.I."
84,Jual Rumah Murah-Kasihan-Selatan UMY,Rp 483.000.999,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Tegalrejo, Yogyakarta Kota, Yogyakarta D.I."
85,RUMAH ADA KOLAM RENANG PRIBADI DI TIMOHO KODYA JOGJA. BPY14,Rp 4.900.000.000,340,200,4,4,1,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
86,Rumah Siap Huni Dalam Perumahan Cantik Pesona Sadewa,Rp 493.000.087,93,45,2,1,1,SHM - Sertifikat Hak Milik,"Ngampilan, Yogyakarta Kota, Yogyakarta D.I."
87,Rumah Tropis dengan Kolam Renang Pribadi di Casa Grande,Rp 12.500.000.000,504,650,7,7,2,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
88,Rumah Baru Jalan Kaliurang Dekat Uii,Rp 750.000.000,126,70,2,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
89,Rumah Apik dekat Kampus UII Jalan Kaliurang,Rp 875.000.000,117,80,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
90,Langka Luas Murah Jual Cepat Rumah dlm Perumahan Elite Green Hills,Rp 3.100.000.000,271,150,3,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
91,Rumah Cantik Siap Huni Di jl Imogiri barat km 8,Rp 460.000.000,85,45,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I."
92,Rumah Siap Huni Murah Dekat Jln Utama Kasihan,Rp 482.000.098,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mergangsan, Yogyakarta Kota, Yogyakarta D.I."
93,Rumah Modern Area Sedayu Jogja 400jt-an,Rp 400.000.000,0,0,2,1,0,,"Pajangan, Bantul Kab., Yogyakarta D.I."
94,Rumah Dijual Murah Siap Huni Dekat Terminal Giwangan,Rp 365.000.003,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Kraton, Yogyakarta Kota, Yogyakarta D.I."
95,Rumah murah perumahan pondok permai Tamantirto dekat UMY,Rp 1.350.000.000,145,90,3,2,0,,"Kasihan, Bantul Kab., Yogyakarta D.I."
96,rumah siap huni jl Godean km 10 ke Utara dekat RS at turots,Rp 460.000.005,101,70,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
97,Dijual Rumah Baru Utara JogyaBay Maguwo,Rp 775.000.000,135,80,3,2,,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
98,Rumah baru Sardonoharjo dekat kampus Uii,Rp 750.000.000,189,100,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
99,Rumah minimalis siap huni lingkungan sejuk tamanan banguntapan,Rp 365.000.000,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Kotagede, Yogyakarta Kota, Yogyakarta D.I."
100,Kode RSH806 #Rumah Siap Huni Di Karang Mojo Gunungkidul Yogyakarta,Rp 450.000.000,500,350,2,2,1,SHM - Sertifikat Hak Milik,"Karangmojo, Gunung Kidul Kab., Yogyakarta D.I."
101,Rumah dalam perum Purwomartani,Rp 1.600.000.000,107,130,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
102,DIJUAL RUMAH NO.B7 PERUMAHAN TELAGA JATI ASRI,Rp 330.000.000,153,60,3,1,1,HGB - Hak Guna Bangun,"Wonosari, Gunung Kidul Kab., Yogyakarta D.I."
103,Rumah Mewah Gagah SIAP HUNI,Rp 625.000.000,105,56,3,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I."
104,Rumah murah perumahan pondok permai Tamantirto dekat UMY,Rp 1.350.000.000,145,90,3,2,0,,"Kasihan, Bantul Kab., Yogyakarta D.I."
105,rumah siap huni jl Godean km 10 ke Utara dekat RS at turots,Rp 460.000.005,101,70,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I."
106,Dijual Rumah Baru Utara JogyaBay Maguwo,Rp 775.000.000,135,80,3,2,,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
107,Rumah baru Sardonoharjo dekat kampus Uii,Rp 750.000.000,189,100,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
108,Rumah minimalis siap huni lingkungan sejuk tamanan banguntapan,Rp 365.000.000,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Kotagede, Yogyakarta Kota, Yogyakarta D.I."
109,Rumah Dekat Paar Bantul Desain Mewah di Deresan Proses Bangun,Rp 340.000.033,73,36,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
110,Jual Rumah Siap Huni Type 113m2 Di Yogyakarta Legalitas SHM Siap KPR,Rp 925.000.066,112,113,4,3,1,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
111,TURUN HARGA Dijual rumah 1 lantai diarea premium Demangan Baru,Rp 4.900.000.000,442,350,6,4,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
112,Dijual Rumah Siap Huni Harga Ekonomis Hanya 5 Menit Ke Jl Jogja-Solo,Rp 670.000.000,104,51,2,2,0,,"Kalasan, Sleman Kab., Yogyakarta D.I."
113,Rumah Gedong Kuning Dlm Ringroad,Rp 480.000.000,75,55,2,1,,,"Kotagede, Yogyakarta Kota, Yogyakarta D.I."
114,"DIJUAL  MURAH SEGERA !!!
RUMAH SIAP HUNI 350 JUTA DI SLEMAN",Rp 350.000.000,0,0,2,1,0,,"Kalasan, Sleman Kab., Yogyakarta D.I."
115,"Dijual Rumah murah model klasik
Di Perumahan daerah Gowok",Rp 1.300.000.000,160,160,3,2,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
116,"Rumah siap bangun 435 juta dekat polres bantul,  gose di ringinharjo",Rp 435.000.001,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Bantul, Bantul Kab., Yogyakarta D.I."
117,Rumah siap huni terbaik di area nya,Rp 399.999.999,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mergangsan, Yogyakarta Kota, Yogyakarta D.I."
118,Rumah induk dan kos kosan kodya wirosaban,Rp 2.200.000.003,238,250,9,6,2,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
119,"DIJUAL  MURAH SEGERA !!!
RUMAH SIAP HUNI 350 JUTA DI SLEMAN",Rp 350.000.000,110,40,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
120,Rumah Cantik Modern dekat SCH Mall,Rp 675.888.222,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
121,"Rumah Induk+ Kost Pringwulung dkt UAJY Mrican,Sadhar,Gejayan,Ambarukmo",Rp 1.600.000.000,200,200,8,2,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
122,Jual Rumah Fully Furnished Dalam Perumahan Griya Pengasih Kulon Progo,Rp 300.000.000,93,29,1,1,1,HGB - Hak Guna Bangun,"Pengasih, Kulon Progo Kab., Yogyakarta D.I."
123,Rumah Baru Jl Kaliurang Km 13 Dekat Kampus UII PPPG Proses Bangun,Rp 950.000.000,75,129,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
124,Rumah siap huni terbaik di area nya,Rp 399.999.999,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mergangsan, Yogyakarta Kota, Yogyakarta D.I."
125,Rumah induk dan kos kosan kodya wirosaban,Rp 2.200.000.003,238,250,9,6,2,SHM - Sertifikat Hak Milik,"Umbulharjo, Yogyakarta Kota, Yogyakarta D.I."
126,"DIJUAL  MURAH SEGERA !!!
RUMAH SIAP HUNI 350 JUTA DI SLEMAN",Rp 350.000.000,110,40,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
127,Dijual Rumah Di Kasihan Bantul Dekat Wisata Gerabah Kasongan,Rp 475.000.008,70,48,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
128,Dijual Rumah Siap Huni Harga Ekonomis Hanya 5 Menit Ke Jl Jogja-Solo,Rp 670.000.000,104,51,2,2,0,,"Kalasan, Sleman Kab., Yogyakarta D.I."
129,Rumah Barat Bnatul Kota Desain Mewah di Guwosari Proses Bangun,Rp 345.000.002,90,45,2,1,1,SHM - Sertifikat Hak Milik,"Pajangan, Bantul Kab., Yogyakarta D.I."
130,Rumah 2 lantai full furnish dekat hotel hyatt,Rp 1.700.000.000,136,110,3,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
131,Dekat UMY Hunian Siap Huni Harga 300 jtan,Rp 395.000.000,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Yogyakarta Kota, Yogyakarta D.I."
132,RUMAH MURAH BAGUS STRATEGIS DEKAT TERMINAL CONDONGCATUR SLEMAN YOGYA,Rp 650.000.000,91,67,2,1,1,SHM - Sertifikat Hak Milik,"Depok, Sleman Kab., Yogyakarta D.I."
133,Riumah Model Paris di Perum Elite Merapi View Jl Kaliurang dekat UII B,Rp 2.300.000.000,162,100,3,2,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
134,Rumah Murah di Bangunjiwo Kasihan Bantul Kota dekat Ambarketawang,Rp 285.000.008,77,48,2,1,1,SHM - Sertifikat Hak Milik,"Kasihan, Bantul Kab., Yogyakarta D.I."
135,"Rumah Idaman Area Jalan Damai, Harga Murah, Strategis",Rp 790.008.780,106,60,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
136,Hunian di pusat kota Yogyakarta Cluster PATRA GRAHA BANGUNJIWO,Rp 355.578.888,91,45,2,1,1,SHM - Sertifikat Hak Milik,"Mantrijeron, Yogyakarta Kota, Yogyakarta D.I."
137,Rumah Klasik Mewah Dengan Perabot Lengkap Dekat Pamella Tujuh Kalasan,Rp 2.000.000.000,128,258,5,4,2,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
138,Rumah Murah Bisa KPR di Area Prambanan: Konsep Heritage,Rp 260.009.999,87,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
