location,loc,point,lat,lon
"Sedayu, Bantul Kab., Yogyakarta D.I.","Sedayu, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.8189313, 110.2568346, 0.0)",-7.8189313,110.2568346
"Panjatan, Kulon Progo Kab., Yogyakarta D.I.","Panjatan, Kulon Progo Regency, Special Region of Yogyakarta, Indonesia","(-7.9063609, 110.1711428, 0.0)",-7.9063609,110.1711428
"Nanggulan, Kulon Progo Kab., Yogyakarta D.I.","Nanggulan, Kulon Progo Regency, Special Region of Yogyakarta, Indonesia","(-7.786763199999998, 110.2042985, 0.0)",-7.786763199999998,110.2042985
"Sentolo, Kulon Progo Kab., Yogyakarta D.I.","Sentolo, Kulon Progo Regency, Special Region of Yogyakarta, Indonesia","(-7.834090100000001, 110.2189554, 0.0)",-7.834090100000001,110.2189554
"Lendah, Kulon Progo Kab., Yogyakarta D.I.","Lendah, Kulon Progo Regency, Special Region of Yogyakarta, Indonesia","(-7.912691499999999, 110.1969898, 0.0)",-7.912691499999999,110.1969898
"Temon, Kulon Progo Kab., Yogyakarta D.I.","Temon, Kulon Progo Regency, Special Region of Yogyakarta, Indonesia","(-7.8867789, 110.0748749, 0.0)",-7.8867789,110.0748749
"Karangmojo, Gunung Kidul Kab., Yogyakarta D.I.","Karangmojo, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-7.9529862, 110.6793693, 0.0)",-7.9529862,110.6793693
"Playen, Gunung Kidul Kab., Yogyakarta D.I.","Playen, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-7.9438551, 110.5500626, 0.0)",-7.9438551,110.5500626
"Paliyan, Gunung Kidul Kab., Yogyakarta D.I.","Paliyan, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-8.0048322, 110.5594221, 0.0)",-8.0048322,110.5594221
"Semanu, Gunung Kidul Kab., Yogyakarta D.I.","Semanu, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-7.998326099999999, 110.652778, 0.0)",-7.998326099999999,110.652778
"Piyungan, Bantul Kab., Yogyakarta D.I.","Piyungan, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.838150199999999, 110.4760537, 0.0)",-7.838150199999999,110.4760537
"Pleret, Bantul Kab., Yogyakarta D.I.","Pleret, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.870035799999999, 110.3909634, 0.0)",-7.870035799999999,110.3909634
"Prambanan, Sleman Kab., Yogyakarta D.I.","Prambanan, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.793364499999999, 110.482756, 0.0)",-7.793364499999999,110.482756
"Patuk, Gunung Kidul Kab., Yogyakarta D.I.","Patuk, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-7.8694517, 110.5195771, 0.0)",-7.8694517,110.5195771
"Tepus, Gunung Kidul Kab., Yogyakarta D.I.","Tepus, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-8.126017899999999, 110.6420079, 0.0)",-8.126017899999999,110.6420079
"Tanjungsari, Gunung Kidul Kab., Yogyakarta D.I.","Tanjungsari, Gunung Kidul Regency, Special Region of Yogyakarta, Indonesia","(-8.070921199999999, 110.5999082, 0.0)",-8.070921199999999,110.5999082
"Dlingo, Bantul Kab., Yogyakarta D.I.","Dlingo, Bantul Regency, Special Region of Yogyakarta, Indonesia","(-7.925561099999999, 110.4686765, 0.0)",-7.925561099999999,110.4686765
