title,price,land,building,bed,bath,floor,certificate,location
Rumah Murah Bisa KPR di Area Prambanan: Konsep Heritage,260009999,87,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
Rumah Pinggir Jalan Magelang (Strategis Banget),1495000000,103,110,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
"Rumah Dalam Perumahan Jl.Palagan Km.8 Dekat Hyatt,Monjali,UGM",775000000,91,60,2,1,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I."
Rumah Dekat Jalan Imogiri Timur di Puton Jetis Siap Bangun,385000000,107,45,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
"Dijual Rumah Sleman, Umbulmartani View Merapi Timur Kampus UII TERPADU",650000088,104,63,2,1,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Rumah Minimalis Jl Pendowoharjo Dalam Cluster,480000000,112,45,2,1,1,SHM - Sertifikat Hak Milik,"Tempel, Sleman Kab., Yogyakarta D.I."
Rumah Tropis di Laguna Spring Jalan Wonosari,2500000000,127,130,3,3,2,HGB - Hak Guna Bangun,"Banguntapan, Bantul Kab., Yogyakarta D.I."
Bu jual rumah baru tanah luas di manisrenggo view sawah,375000000,67,50,2,1,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I."
Rumah Baru Siap Huni Di Jalan Imogiri Barat Dekat Kota Jogja,400000000,85,60,2,1,1,SHM - Sertifikat Hak Milik,"Jetis, Bantul Kab., Yogyakarta D.I."
Rumah 2 lantai dekat Harjolukito di blok O,950000000,162,280,3,3,2,SHM - Sertifikat Hak Milik,"Banguntapan, Bantul Kab., Yogyakarta D.I."
PERUMAHAN MEWAH MULAI 900JUTAAN DEKAT KAMPUS UII - SMR285,900000000,131,70,3,3,2,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I."
Saatnya Miliki Rumah Konsep Minimalis Bernuansa Putih Elegan 500jutaan,500000018,142,45,2,1,1,SHM - Sertifikat Hak Milik,"Tempel, Sleman Kab., Yogyakarta D.I."
DIJUAL MURAH RUMAH 2 LANTAI SEKITAR STADION SULTAN AGUNG,600000000,70,50,2,2,2,SHM - Sertifikat Hak Milik,"Bantul, Bantul Kab., Yogyakarta D.I."
Rumah Hook Strategis Dipinggir Jalan Aspal,660000000,86,50,2,1,1,SHM - Sertifikat Hak Milik,"Berbah, Sleman Kab., Yogyakarta D.I."
