,title,price,land,building,bed,bath,floor,certificate,location
0,Rumah Murah Jl Padma Palagan Dekat Kampus UGM Hotel Hyatt,Rp 825.000.000,100,75,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
1,rumah cantik &amp; kos2an dekat univ aisyiah jogja,Rp 1.300.000.000,77,150,3,2,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
2,Rumah minimalis moderen tropis dijual di sleman jogja yogya yogyakarta,Rp 650.000.000,112,90,3,2,1,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
3,Rumah Cantik Modern dekat SCH Mall,Rp 675.888.222,84,120,4,2,2,SHM - Sertifikat Hak Milik,"Mlati, Sleman Kab., Yogyakarta D.I."
4,Launching!! Selatan Perum Pertamina Perumahan Konsep Modern Purwo,Rp 873.000.990,118,70,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
5,Rumah Dijual Timur Masjid Suciati jl Gitogati Sleman,Rp 725.000.000,116,90,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
6,Rumah Baru Mewah Luxury 3 Lantai Pinggir Jalan Di Jl. Kaliurang Km. 7,Rp 5.250.000.000,1,1,3,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
7,Rumah Baru Barat Lapangan Denggung Sleman Siap Bangun,Rp 385.000.000,84,45,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
8,Dijual rumah minimalis siap huni di daerah gamping ringroad barat,Rp 800.000.000,141,55,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
9,Rumah Murah Jl Padma Dekat Hotel Hyatt Kampus UGM,Rp 845.000.000,113,80,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
10,Rumah Mewah Dekat RSA UGM Di Bawah 1 M,Rp 975.000.000,171,150,4,3,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
11,Murah! Perumahan Modern Konsep Eropa Dekat Kids Fun,Rp 650.009.900,209,100,3,2,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
12,rumah baru siap huni Jakal KM 12,Rp 800.000.000,148,80,3,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
13,Dijual Hunian Murah Proses Finishing Barat Klinik Widuri,Rp 475.000.000,112,47,2,1,0,,"Sleman, Sleman Kab., Yogyakarta D.I."
14,"CLUSTER MEWAH Griya di Maguwoharjo, Jual Cepat",Rp 1.870.000.000,120,135,4,2,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
15,"Tanah Sleman Murah, Sertipikat SHM, Dekat UII",Rp 450.000.000,107,45,2,1,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
16,Kode RSH 188 # Rumah Bagus Siap Huni di Barat Polres Sleman Yogyakarat,Rp 350.000.000,90,36,2,1,0,,"Mlati, Sleman Kab., Yogyakarta D.I."
17,"Kost Jogja 2 lantai, 11 Kamar. Pogung Baru. dekat ke kampus UGM. SHM",Rp 3.950.000.000,333,200,5,3,1,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I."
