title,price,land,building,bed,bath,floor,certificate,location,landprice,loc,point,lat,lon,regency
Rumah etnik mewah joglo kolam renang maguwoharjo view cantik,7500000000,1200,600,4,4,1,HGB - Hak Guna Bangun,"Depok, Sleman Kab., Yogyakarta D.I.",6250000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7617436, 110.4120154, 0.0)",-7.7617436,110.4120154,Sleman Regency
Rumah Cantik Elegan Siap Huni Dekat RIngin Purwomartani Kalasan,625000004,115,80,3,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I.",5434782,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7295892, 110.4512091, 0.0)",-7.7295892,110.4512091,Sleman Regency
rumah guesthouse 8 kamar full furnished dekat sd Budi mulia jl tajem,1500000000,266,125,3,2,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I.",5639097,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.701154699999999, 110.4472796, 0.0)",-7.701154699999999,110.4472796,Sleman Regency
"Rumah asri dengan tanah luas di Tajem, dekat jalan raya Selomartani",2500000000,765,250,5,3,1,SHM - Sertifikat Hak Milik,"Ngemplak, Sleman Kab., Yogyakarta D.I.",3267973,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.701154699999999, 110.4472796, 0.0)",-7.701154699999999,110.4472796,Sleman Regency
DIJUAL RUMAH NO.B7 PERUMAHAN TELAGA JATI ASRI,330000000,88,45,2,1,1,HGB - Hak Guna Bangun,"Wonosari, Gunung Kidul Kab., Yogyakarta D.I.",3750000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.9655412, 110.6008827, 0.0)",-7.9655412,110.6008827,Sleman Regency
Rumah Dijual Perumahan Lempongsari dkt Hotel Hyatt Jl. Palagan &amp; UGM,2000000000,172,160,4,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",11627906,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
"Dijual 1 Unit Rumah Siap Bangun di Godean, Type 45/101 Rp 525 juta",525000306,101,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I.",5198022,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.767382, 110.2931036, 0.0)",-7.767382,110.2931036,Sleman Regency
"Full Furnish, Rumah Siap Tempati Type 80/140 m2 Siap KPR Di Sleman",700000316,140,110,4,2,1,SHM - Sertifikat Hak Milik,"Kalasan, Sleman Kab., Yogyakarta D.I.",5000002,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7295892, 110.4512091, 0.0)",-7.7295892,110.4512091,Sleman Regency
"Rumah Dijogja, Sleman Rumah dua Lantai, dekat Jl Gito Gati, SCH",1800000000,150,200,4,4,2,SHM - Sertifikat Hak Milik,"Sleman, Sleman Kab., Yogyakarta D.I.",12000000,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.689595199999999, 110.3449703, 0.0)",-7.689595199999999,110.3449703,Sleman Regency
Tanah Murah Sleman 118 m2 Standar Perumahan,117000000,76,76,1,1,1,SHM - Sertifikat Hak Milik,"Minggir, Sleman Kab., Yogyakarta D.I.",1539473,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.7149815, 110.2581334, 0.0)",-7.7149815,110.2581334,Sleman Regency
Jual Rumah Kavling Bisa KPR di Sidokarto Godean,450000011,70,45,2,1,1,SHM - Sertifikat Hak Milik,"Godean, Sleman Kab., Yogyakarta D.I.",6428571,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.767382, 110.2931036, 0.0)",-7.767382,110.2931036,Sleman Regency
Rumah Baru Jalan Kaliurang Dekat Uii,750000000,126,70,2,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",5952380,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
Rumah Apik dekat Kampus UII Jalan Kaliurang,875000000,117,80,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",7478632,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
Langka Luas Murah Jual Cepat Rumah dlm Perumahan Elite Green Hills,3100000000,271,150,3,3,2,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",11439114,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
Rumah Cantik Siap Huni Di jl Imogiri barat km 8,460000000,85,45,2,1,1,SHM - Sertifikat Hak Milik,"Sewon, Bantul Kab., Yogyakarta D.I.",5411764,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.835594499999999, 110.3656196, 0.0)",-7.835594499999999,110.3656196,Sleman Regency
rumah siap huni jl Godean km 10 ke Utara dekat RS at turots,460000005,101,70,3,2,1,SHM - Sertifikat Hak Milik,"Seyegan, Sleman Kab., Yogyakarta D.I.",4554455,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.719952099999999, 110.3035665, 0.0)",-7.719952099999999,110.3035665,Sleman Regency
Rumah baru Sardonoharjo dekat kampus Uii,750000000,189,100,3,2,1,SHM - Sertifikat Hak Milik,"Ngaglik, Sleman Kab., Yogyakarta D.I.",3968253,"Ngaglik, Sleman Regency, Special Region of Yogyakarta, Indonesia","(-7.702967699999999, 110.4134792, 0.0)",-7.702967699999999,110.4134792,Sleman Regency
